date,target_reg_tomorrow,target_class_tomorrow
2023-08-16,65.20833333333333,1
2023-08-17,80.58333333333333,1
2023-08-18,79.04166666666667,1
2023-08-19,73.625,1
2023-08-20,61.25,1
2023-08-21,78.29166666666667,1
2023-08-22,74.08333333333333,1
2023-08-23,62.04166666666666,1
2023-08-24,67.04166666666667,1
2023-08-25,69.20833333333333,1
2023-08-26,64.29166666666667,1
2023-08-27,63.083333333333336,1
2023-08-28,60.875,1
2023-08-29,64.70833333333333,1
2023-08-30,64.41666666666667,1
2023-08-31,57.958333333333336,1
2023-09-01,51.625,1
2023-09-02,43.75,0
2023-09-03,48.458333333333336,0
2023-09-04,50.833333333333336,1
2023-09-05,54.79166666666666,1
2023-09-06,67.95833333333333,1
2023-09-07,69.91666666666667,1
2023-09-08,66.08333333333333,1
2023-09-09,57.16666666666666,1
2023-09-10,56.66666666666666,1
2023-09-11,65.04166666666667,1
2023-09-12,77.91666666666667,1
2023-09-13,99.75,1
2023-09-14,76.45833333333333,1
2023-09-15,69.79166666666667,1
2023-09-16,87.58333333333333,1
2023-09-17,91.125,1
2023-09-18,89.04166666666667,1
2023-09-19,77.70833333333333,1
2023-09-20,75.5,1
2023-09-21,71.79166666666667,1
2023-09-22,66.66666666666667,1
2023-09-23,83.41666666666667,1
2023-09-24,72.5,1
2023-09-25,51.66666666666666,1
2023-09-26,53.04166666666666,1
2023-09-27,72.45833333333333,1
2023-09-28,122.45833333333331,2
2023-09-29,82.125,1
2023-09-30,61.625,1
2023-10-01,69.25,1
2023-10-02,66.08333333333333,1
2023-10-03,62.16666666666666,1
2023-10-04,62.958333333333336,1
2023-10-05,67.66666666666667,1
2023-10-06,91.25,1
2023-10-07,96.16666666666669,1
2023-10-08,83.54166666666667,1
2023-10-09,79.58333333333333,1
2023-10-10,61.91666666666666,1
2023-10-11,68.625,1
2023-10-12,80.91666666666667,1
2023-10-13,91.54166666666669,1
2023-10-14,68.5,1
2023-10-15,79.79166666666667,1
2023-10-16,99.375,1
2023-10-17,87.75,1
2023-10-18,103.70833333333331,2
2023-10-19,109.66666666666669,2
2023-10-20,84.20833333333333,1
2023-10-21,85.58333333333333,1
2023-10-22,95.16666666666669,1
2023-10-23,116.04166666666669,2
2023-10-24,87.41666666666667,1
2023-10-25,67.45833333333333,1
2023-10-26,66.0,1
2023-10-27,72.91666666666667,1
2023-10-28,74.0,1
2023-10-29,74.125,1
2023-10-30,82.95833333333333,1
2023-10-31,82.41666666666667,1
2023-11-01,76.04166666666667,1
2023-11-02,100.125,2
2023-11-03,95.0,1
2023-11-04,81.875,1
2023-11-05,76.75,1
2023-11-06,73.33333333333333,1
2023-11-07,96.125,1
2023-11-08,70.04166666666667,1
2023-11-09,61.04166666666666,1
2023-11-10,63.25,1
2023-11-11,64.0,1
2023-11-12,79.79166666666667,1
2023-11-13,79.70833333333333,1
2023-11-14,78.41666666666667,1
2023-11-15,80.04166666666667,1
2023-11-16,80.125,1
2023-11-17,69.20833333333333,1
2023-11-18,85.95833333333333,1
2023-11-19,104.75,2
2023-11-20,108.41666666666669,2
2023-11-21,142.41666666666666,2
2023-11-22,114.79166666666669,2
2023-11-23,148.625,2
2023-11-24,100.33333333333331,2
2023-11-25,86.83333333333333,1
2023-11-26,77.54166666666667,1
2023-11-27,91.5,1
2023-11-28,83.04166666666667,1
2023-11-29,77.0,1
2023-11-30,80.04166666666667,1
2023-12-01,70.83333333333333,1
2023-12-02,63.5,1
2023-12-03,91.125,1
2023-12-04,96.66666666666669,1
2023-12-05,83.25,1
2023-12-06,72.20833333333333,1
2023-12-07,77.5,1
2023-12-08,82.625,1
2023-12-09,68.25,1
2023-12-10,67.41666666666667,1
2023-12-11,67.20833333333333,1
2023-12-12,74.16666666666667,1
2023-12-13,85.54166666666667,1
2023-12-14,56.75,1
2023-12-15,63.208333333333336,1
2023-12-16,67.54166666666667,1
2023-12-17,87.125,1
2023-12-18,90.5,1
2023-12-19,70.125,1
2023-12-20,63.29166666666666,1
2023-12-21,50.25,1
2023-12-22,51.04166666666666,1
2023-12-23,54.5,1
2023-12-24,84.79166666666667,1
2023-12-25,78.95833333333333,1
2023-12-26,110.29166666666669,2
2023-12-27,96.70833333333331,1
2023-12-28,79.66666666666667,1
2023-12-29,75.70833333333333,1
2023-12-30,100.95833333333331,2
2023-12-31,98.375,1
2024-01-01,114.75,2
2024-01-02,102.54166666666669,2
2024-01-03,88.41666666666667,1
2024-01-04,82.66666666666667,1
2024-01-05,93.20833333333331,1
2024-01-06,94.875,1
2024-01-07,75.375,1
2024-01-08,84.45833333333333,1
2024-01-09,76.375,1
2024-01-10,78.70833333333333,1
2024-01-11,82.54166666666667,1
2024-01-12,88.25,1
2024-01-13,103.125,2
2024-01-14,108.08333333333331,2
2024-01-15,92.625,1
2024-01-16,79.45833333333333,1
2024-01-17,70.20833333333333,1
2024-01-18,71.79166666666667,1
2024-01-19,72.66666666666667,1
2024-01-20,74.79166666666667,1
2024-01-21,64.25,1
2024-01-22,58.25,1
2024-01-23,60.04166666666666,1
2024-01-24,58.25,1
2024-01-25,68.91666666666667,1
2024-01-26,88.0,1
2024-01-27,77.04166666666667,1
2024-01-28,63.75,1
2024-01-29,55.16666666666666,1
2024-01-30,55.208333333333336,1
2024-01-31,57.875,1
2024-02-01,60.04166666666666,1
2024-02-02,58.0,1
2024-02-03,58.25,1
2024-02-04,64.33333333333333,1
2024-02-05,57.125,1
2024-02-06,59.875,1
2024-02-07,68.91666666666667,1
2024-02-08,61.5,1
2024-02-09,65.58333333333333,1
2024-02-10,62.5,1
2024-02-11,65.79166666666667,1
2024-02-12,62.625,1
2024-02-13,47.66666666666666,0
2024-02-14,43.79166666666666,0
2024-02-15,43.708333333333336,0
2024-02-16,46.583333333333336,0
2024-02-17,47.25,0
2024-02-18,50.958333333333336,1
2024-02-19,49.54166666666666,0
2024-02-20,47.375,0
2024-02-21,42.833333333333336,0
2024-02-22,44.458333333333336,0
2024-02-23,49.458333333333336,0
2024-02-24,57.208333333333336,1
2024-02-25,53.208333333333336,1
2024-02-26,52.583333333333336,1
2024-02-27,48.79166666666666,0
2024-02-28,42.625,0
2024-02-29,51.41666666666666,1
2024-03-01,55.083333333333336,1
2024-03-02,60.04166666666666,1
2024-03-03,54.29166666666666,1
2024-03-04,63.5,1
2024-03-05,80.29166666666667,1
2024-03-06,92.91666666666669,1
2024-03-07,70.83333333333333,1
2024-03-08,58.375,1
2024-03-09,70.125,1
2024-03-10,57.833333333333336,1
2024-03-11,56.25,1
2024-03-12,61.583333333333336,1
2024-03-13,63.29166666666666,1
2024-03-14,55.25,1
2024-03-15,61.5,1
2024-03-16,57.625,1
2024-03-17,55.333333333333336,1
2024-03-18,52.625,1
2024-03-19,57.958333333333336,1
2024-03-20,67.125,1
2024-03-21,53.958333333333336,1
2024-03-22,50.208333333333336,1
2024-03-23,48.958333333333336,0
2024-03-24,49.79166666666666,0
2024-03-25,43.083333333333336,0
2024-03-26,49.583333333333336,0
2024-03-27,54.625,1
